date,open,high
2014-03-26,2.3091,2.3162
2014-03-27,2.293,2.304
2014-03-28,2.2543,2.2663
2014-03-30,2.2561,2.272
2014-03-31,2.2491,2.2728
2014-04-01,2.2583,2.2734
2014-04-02,2.2671,2.2861
2014-04-03,2.2587,2.278
2014-04-06,2.2336,2.2449
2014-04-07,2.2143,2.2167
2014-04-08,2.1968,2.2142
2014-04-09,2.1813,2.2026
2014-04-10,2.2018,2.2162
2014-04-13,2.2139,2.2191
2014-04-14,2.201,2.234
2014-04-15,2.2316,2.2363
2014-04-16,2.222,2.247
2014-04-17,2.2282,2.2428
2014-04-20,2.2282,2.237
2014-04-21,2.2282,2.247
2014-04-22,2.237,2.245
2014-04-23,2.2158,2.2257
2014-04-24,2.2068,2.2368
2014-04-27,2.2388,2.2425
2014-04-28,2.2203,2.2265
2014-04-29,2.2311,2.2546
2014-04-30,2.2116,2.2335
2014-05-01,2.2118,2.2386
2014-05-04,2.215,2.2325
2014-05-05,2.24,2.2424
2014-05-06,2.227,2.2312
2014-05-07,2.2119,2.2149
2014-05-08,2.2137,2.2216
2014-05-11,2.2075,2.2178
2014-05-12,2.195,2.2178
2014-05-13,2.1979,2.2158
2014-05-14,2.1975,2.224
2014-05-15,2.2154,2.22
2014-05-18,2.2103,2.2147
2014-05-19,2.2028,2.2171
2014-05-20,2.2108,2.2132
2014-05-21,2.2051,2.2168
2014-05-22,2.2108,2.2196
2014-05-25,2.219,2.2206
2014-05-26,2.2211,2.2403
2014-05-27,2.2348,2.2441
2014-05-28,2.2276,2.2323
2014-05-29,2.2213,2.2422
2014-06-01,2.2368,2.2711
2014-06-02,2.2718,2.2742
2014-06-03,2.2767,2.287
2014-06-04,2.264,2.2835
2014-06-05,2.2584,2.2586
2014-06-08,2.2426,2.2465
2014-06-09,2.2243,2.2465
2014-06-10,2.2195,2.2331
2014-06-11,2.2298,2.2309
2014-06-12,2.2101,2.2379
2014-06-15,2.2196,2.2307
2014-06-16,2.2324,2.2554
2014-06-17,2.2568,2.2591
2014-06-18,2.2178,2.2203
2014-06-19,2.2069,2.2393
2014-06-22,2.2269,2.234
2014-06-23,2.2149,2.2218
2014-06-24,2.2021,2.2221
2014-06-25,2.2028,2.2103
2014-06-26,2.1919,2.206
2014-06-29,2.1733,2.2037
2014-06-30,2.2096,2.2171
2014-07-01,2.2001,2.2171
2014-07-02,2.2203,2.2405
2014-07-03,2.2048,2.2135
2014-07-06,2.1906,2.2196
2014-07-07,2.2203,2.225
2014-07-08,2.2095,2.212
2014-07-09,2.2094,2.2235
2014-07-10,2.2184,2.2239
2014-07-13,2.2032,2.2205
2014-07-14,2.2053,2.2231
2014-07-15,2.1977,2.2215
2014-07-16,2.2009,2.2449
2014-07-17,2.2554,2.2559
2014-07-20,2.2223,2.228
2014-07-21,2.207,2.2215
2014-07-22,2.2102,2.2195
2014-07-23,2.216,2.2197
2014-07-24,2.2021,2.2293
2014-07-27,2.2221,2.2317
2014-07-28,2.2173,2.2278
2014-07-29,2.2081,2.2533
2014-07-30,2.2419,2.2713
2014-07-31,2.2586,2.2804
2014-08-03,2.2359,2.26
2014-08-04,2.2558,2.2766
2014-08-05,2.2783,2.2927
2014-08-06,2.2556,2.2867
2014-08-07,2.292,2.3041
2014-08-10,2.279,2.2848
2014-08-11,2.2705,2.2815
2014-08-12,2.2732,2.2833
2014-08-13,2.2765,2.281
2014-08-14,2.264,2.2729
2014-08-17,2.2567,2.2615
2014-08-18,2.2547,2.2617
2014-08-19,2.2417,2.2546
2014-08-20,2.2573,2.26
2014-08-21,2.2646,2.2794
2014-08-24,2.2625,2.2812
2014-08-25,2.281,2.285
2014-08-26,2.2587,2.2614
2014-08-27,2.2432,2.2536
2014-08-28,2.235,2.2418
2014-08-31,2.2316,2.2371
2014-09-01,2.2412,2.2531
2014-09-02,2.2397,2.2403
2014-09-03,2.232,2.2418
2014-09-04,2.2392,2.2466
2014-09-07,2.2378,2.2536
2014-09-08,2.2631,2.2864
2014-09-09,2.2813,2.2969
2014-09-10,2.2723,2.2965
2014-09-11,2.2929,2.3401
2014-09-14,2.3348,2.3473
2014-09-15,2.3375,2.343
2014-09-16,2.3337,2.3478
2014-09-17,2.3552,2.3736
2014-09-18,2.3611,2.3741
2014-09-21,2.3643,2.3896
2014-09-22,2.3961,2.4093
2014-09-23,2.4077,2.4146
2014-09-24,2.3797,2.4217
2014-09-25,2.4233,2.4401
2014-09-28,2.4131,2.4736
2014-09-29,2.4417,2.4577
2014-09-30,2.4356,2.4755
2014-10-01,2.48,2.4941
2014-10-02,2.4904,2.503
2014-10-05,2.4959,2.4964
2014-10-06,2.4238,2.4263
2014-10-07,2.3914,2.4265
2014-10-08,2.3739,2.394
2014-10-09,2.3931,2.4206
2014-10-12,2.423,2.4267
2014-10-13,2.3906,2.4025
2014-10-14,2.3967,2.4433
2014-10-15,2.4524,2.4989
2014-10-16,2.4644,2.4672
2014-10-19,2.4307,2.4609
2014-10-20,2.4622,2.4967
2014-10-21,2.476,2.4875
2014-10-22,2.4701,2.505
2014-10-23,2.4955,2.4967
2014-10-27,2.4668,2.5521
2014-10-28,2.5196,2.5197
2014-10-29,2.4582,2.4664
2014-10-30,2.458,2.4585
2014-10-31,2.4016,2.4519
2014-11-03,2.4236,2.5011
2014-11-04,2.4921,2.5277
2014-11-05,2.4938,2.5252
2014-11-06,2.5017,2.5468
2014-11-07,2.5664,2.5851
2014-11-10,2.5538,2.5562
2014-11-11,2.5493,2.5675
2014-11-12,2.5542,2.5606
2014-11-13,2.5633,2.5764
2014-11-14,2.5856,2.625
2014-11-17,2.5968,2.6149
2014-11-18,2.6051,2.6056
2014-11-19,2.5793,2.5963
2014-11-20,2.5688,2.5718
2014-11-21,2.5698,2.5709
2014-11-24,2.5141,2.5405
2014-11-25,2.5424,2.5455
2014-11-26,2.5269,2.5281
2014-11-27,2.4979,2.5133
2014-11-28,2.5272,2.5788
2014-12-01,2.5609,2.5752
2014-12-02,2.5566,2.5775
2014-12-03,2.5648,2.5827
2014-12-04,2.5494,2.5895
2014-12-05,2.5882,2.6035
2014-12-08,2.5835,2.5969
2014-12-09,2.597,2.6085
2014-12-10,2.5895,2.6031
2014-12-11,2.6131,2.6487
2014-12-12,2.6468,2.6656
2014-12-15,2.6296,2.6882
2014-12-16,2.6922,2.7548
2014-12-17,2.7353,2.7444
2014-12-18,2.7124,2.7129
2014-12-19,2.6593,2.6626
2014-12-22,2.6392,2.6595
2014-12-23,2.6621,2.7062
2014-12-24,2.6913,2.695
2014-12-25,2.6913,2.6952
2014-12-26,2.6867,2.6867
2014-12-29,2.6783,2.6948
2014-12-30,2.6995,2.7011
2014-12-31,2.6541,2.6545
2015-01-01,2.6525,2.6525
2015-01-02,2.6614,2.7041
2015-01-05,2.6779,2.7149
2015-01-06,2.7034,2.7187
2015-01-07,2.6968,2.6976
2015-01-08,2.6799,2.6986
2015-01-09,2.66,2.6706
2015-01-12,2.621,2.6695
2015-01-13,2.6702,2.679
2015-01-14,2.6399,2.6491
2015-01-15,2.6125,2.6282
2015-01-16,2.6387,2.6415
2015-01-19,2.6031,2.6284
2015-01-20,2.6482,2.6491
2015-01-21,2.6109,2.6117
2015-01-22,2.597,2.5985
2015-01-23,2.5709,2.5926
2015-01-26,2.5841,2.6036
2015-01-27,2.5801,2.5944
2015-01-28,2.5687,2.5871
2015-01-29,2.5729,2.6007
2015-01-30,2.6001,2.6854
2015-02-02,2.6788,2.7089
2015-02-03,2.7236,2.7255
2015-02-04,2.691,2.7323
2015-02-05,2.7383,2.7566
2015-02-06,2.7413,2.7791
2015-02-09,2.7583,2.7918
2015-02-10,2.7662,2.8348
2015-02-11,2.8305,2.8699
2015-02-12,2.8656,2.8742
2015-02-13,2.817,2.8523
2015-02-16,2.8255,2.8313
2015-02-17,2.8261,2.8265
2015-02-18,2.8258,2.8448
2015-02-19,2.8345,2.8638
2015-02-20,2.8629,2.8808
2015-02-23,2.8641,2.8976
2015-02-24,2.8755,2.8822
2015-02-25,2.8547,2.8794
2015-02-26,2.8715,2.887
2015-02-27,2.9044,2.9153
2015-03-02,2.8368,2.8813
2015-03-03,2.8926,2.9135
2015-03-04,2.9274,2.9965
2015-03-05,2.9737,2.9966
2015-03-06,2.9998,3.0668
2015-03-09,3.0577,3.1028
2015-03-10,3.1236,3.166
2015-03-11,3.1015,3.136
2015-03-12,3.1272,3.1303
2015-03-13,3.1623,3.272
2015-03-16,3.2443,3.2476
2015-03-17,3.2426,3.2783
2015-03-18,3.2471,3.2744
2015-03-19,3.2177,3.297
2015-03-20,3.2909,3.3103
2015-03-23,3.2311,3.2311
2015-03-24,3.1286,3.1674
2015-03-25,3.1361,3.1671
2015-03-26,3.1976,3.2159
2015-03-27,3.179,3.2433
2015-03-29,3.2539,3.285
2015-03-30,3.2266,3.2632
2015-03-31,3.1897,3.1908
2015-04-01,3.1646,3.1784
2015-04-02,3.1216,3.1216
2015-04-05,3.0895,3.1007
2015-04-06,3.1216,3.1431
2015-04-07,3.1251,3.1265
2015-04-08,3.0454,3.0606
2015-04-09,3.0543,3.0894
2015-04-12,3.0688,3.1136
2015-04-13,3.1195,3.1218
2015-04-14,3.0642,3.0884
2015-04-15,3.025,3.037
2015-04-16,3.0189,3.0655
2015-04-19,3.0372,3.0529
2015-04-20,3.0294,3.036
2015-04-21,3.0305,3.0322
2015-04-22,3.0044,3.0271
2015-04-23,2.9692,2.9848
2015-04-26,2.9478,2.9556
2015-04-27,2.9126,2.9184
2015-04-28,2.933,2.9533
2015-04-29,2.9531,3.0142
2015-04-30,3.0151,3.0805
2015-05-03,3.0215,3.0774
2015-05-04,3.0781,3.0865
2015-05-05,3.053,3.069
2015-05-06,3.0074,3.0579
2015-05-07,3.0219,3.0374
2015-05-10,2.9735,3.0405
2015-05-11,3.0558,3.0729
2015-05-12,3.0174,3.0229
2015-05-13,3.0363,3.0372
2015-05-14,2.9901,3.011
2015-05-17,2.9958,3.0217
2015-05-18,3.0062,3.0381
2015-05-19,3.0315,3.041
2015-05-20,3.0015,3.041
2015-05-21,3.037,3.0697
2015-05-24,3.0749,3.1288
2015-05-25,3.0783,3.1494
2015-05-26,3.1478,3.18
2015-05-27,3.1382,3.1785
2015-05-28,3.1587,3.1901
2015-05-31,3.1854,3.2079
2015-06-01,3.1708,3.1734
2015-06-02,3.128,3.1419
2015-06-03,3.132,3.1423
2015-06-04,3.1399,3.1817
2015-06-07,3.1428,3.1465
2015-06-08,3.1097,3.1161
2015-06-09,3.0937,3.1
2015-06-10,3.1145,3.166
2015-06-11,3.0878,3.1241
2015-06-14,3.1265,3.1334
2015-06-15,3.1243,3.1352
2015-06-16,3.0872,3.1008
2015-06-17,3.0383,3.058
2015-06-18,3.0618,3.0884
2015-06-21,3.0902,3.0991
2015-06-22,3.0847,3.1119
2015-06-23,3.074,3.092
2015-06-24,3.0955,3.1222
2015-06-25,3.1249,3.1358
2015-06-28,3.1679,3.1679
2015-06-29,3.1146,3.14
2015-06-30,3.1097,3.1249
2015-07-01,3.1457,3.1551
2015-07-02,3.0955,3.1337
2015-07-05,3.1585,3.1585
2015-07-06,3.1261,3.1932
2015-07-07,3.1785,3.2379
2015-07-08,3.233,3.2338
2015-07-09,3.2205,3.2228
2015-07-12,3.165,3.1726
2015-07-13,3.1316,3.1403
2015-07-14,3.1369,3.1593
2015-07-15,3.135,3.1478
2015-07-16,3.1511,3.1974
2015-07-19,3.1863,3.2207
2015-07-20,3.1911,3.1969
2015-07-21,3.151,3.2235
2015-07-22,3.2203,3.2942
2015-07-23,3.2843,3.3345
2015-07-26,3.3504,3.3757
2015-07-27,3.3618,3.4002
2015-07-28,3.3547,3.3711
2015-07-29,3.3238,3.3728
2015-07-30,3.3701,3.4104
2015-08-02,3.4243,3.4568
2015-08-03,3.4495,3.4786
2015-08-04,3.4667,3.4947
2015-08-05,3.4844,3.5629
2015-08-06,3.531,3.563
2015-08-09,3.5076,3.5225
2015-08-10,3.436,3.5109
2015-08-11,3.4716,3.5007
2015-08-12,3.4506,3.5232
2015-08-13,3.5197,3.521
2015-08-16,3.4843,3.5019
2015-08-17,3.4692,3.4993
2015-08-18,3.4646,3.5043
2015-08-19,3.4884,3.5148
2015-08-20,3.4584,3.4982
2015-08-23,3.5017,3.5756
2015-08-24,3.5474,3.5537
2015-08-25,3.6129,3.6498
2015-08-26,3.5941,3.5941
2015-08-27,3.551,3.5955
2015-08-30,3.5595,3.677
2015-08-31,3.6178,3.6737
2015-09-01,3.6925,3.7503
2015-09-02,3.7533,3.8111
2015-09-03,3.7363,3.8099
2015-09-06,3.8395,3.8408
2015-09-07,3.8353,3.8361
2015-09-08,3.7863,3.8185
2015-09-09,3.7783,3.9041
2015-09-10,3.8489,3.889
2015-09-13,3.865,3.8863
2015-09-14,3.8107,3.8681
2015-09-15,3.8581,3.861
2015-09-16,3.8312,3.9028
2015-09-17,3.8932,3.9196
