"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 04, 2016","3,279.44","3,240.00","3,287.00","3,231.00","587.39K","1.29"
"Oct 03, 2016","3,237.63","3,269.50","3,277.00","3,224.00","411.76K","-0.26"
"Sep 30, 2016","3,246.20","3,250.00","3,259.50","3,234.00","32.85K","0.02"
"Sep 29, 2016","3,245.69","3,221.50","3,270.00","3,216.00","615.47K","0.70"
"Sep 28, 2016","3,223.22","3,237.00","3,255.00","3,213.50","505.84K","-0.38"
"Sep 27, 2016","3,235.55","3,228.50","3,248.50","3,221.50","403.23K","-0.46"
"Sep 26, 2016","3,250.46","3,255.00","3,258.00","3,228.00","410.15K","0.23"
"Sep 23, 2016","3,243.01","3,216.50","3,258.50","3,208.00","406.90K","0.51"
"Sep 22, 2016","3,226.69","3,200.00","3,236.00","3,189.00","447.56K","-0.03"
"Sep 21, 2016","3,227.71","3,250.50","3,258.00","3,213.50","421.92K","-1.12"
"Sep 20, 2016","3,264.42","3,277.00","3,284.00","3,255.50","360.32K","-0.53"
"Sep 19, 2016","3,281.66","3,274.00","3,291.50","3,265.50","328.04K","-0.22"
"Sep 16, 2016","3,289.03","3,326.00","3,336.00","3,276.00","530.27K","-0.86"
"Sep 15, 2016","3,317.72","3,349.50","3,383.50","3,309.00","616.81K","-1.01"
"Sep 14, 2016","3,351.45","3,321.00","3,366.50","3,315.00","571.57K","0.49"
"Sep 13, 2016","3,335.02","3,282.00","3,351.00","3,279.00","608.99K","2.06"
"Sep 12, 2016","3,267.81","3,317.00","3,329.50","3,260.50","528.53K","-0.64"
"Sep 09, 2016","3,288.75","3,249.00","3,304.50","3,246.50","524.53K","2.15"
"Sep 08, 2016","3,219.44","3,214.50","3,241.50","3,189.00","591.43K","-0.32"
"Sep 06, 2016","3,229.69","3,300.50","3,307.50","3,218.00","472.46K","-2.04"
"Sep 05, 2016","3,296.83","3,277.50","3,312.00","3,272.50","190.90K","0.84"
"Sep 02, 2016","3,269.30","3,277.50","3,299.00","3,249.50","454.55K","0.04"
"Sep 01, 2016","3,267.97","3,248.50","3,291.00","3,247.00","361.23K","0.85"
"Aug 31, 2016","3,240.30","3,229.00","3,242.50","3,222.00","28.76K","-0.25"
"Aug 30, 2016","3,248.27","3,238.50","3,264.50","3,221.00","374.58K","0.19"
"Aug 29, 2016","3,241.97","3,280.00","3,293.50","3,232.00","313.11K","-1.12"
"Aug 26, 2016","3,278.53","3,237.00","3,282.50","3,193.00","569.47K","1.37"
"Aug 25, 2016","3,234.20","3,232.00","3,247.50","3,222.00","325.75K","0.16"
"Aug 24, 2016","3,228.99","3,245.00","3,257.00","3,226.00","368.41K","-0.13"
"Aug 23, 2016","3,233.26","3,200.00","3,247.00","3,194.50","425.34K","0.45"
"Aug 22, 2016","3,218.63","3,227.50","3,238.00","3,208.50","324.78K","-0.30"
"Aug 19, 2016","3,228.25","3,256.00","3,263.00","3,215.50","333.32K","-0.69"
"Aug 18, 2016","3,250.65","3,216.50","3,260.00","3,213.50","397.04K","0.92"
"Aug 17, 2016","3,220.90","3,227.00","3,250.50","3,213.00","421.60K","0.65"
"Aug 16, 2016","3,200.24","3,182.00","3,222.00","3,171.50","347.25K","0.18"
"Aug 15, 2016","3,194.46","3,197.00","3,207.00","3,174.50","253.84K","-0.35"
"Aug 12, 2016","3,205.68","3,172.50","3,213.50","3,165.00","349.04K","1.58"
"Aug 11, 2016","3,155.97","3,166.50","3,174.50","3,149.00","333.64K","0.44"
"Aug 10, 2016","3,142.23","3,142.50","3,166.50","3,135.50","343.44K","-0.81"
"Aug 09, 2016","3,167.99","3,196.00","3,198.00","3,151.00","356.32K","-0.81"
