Date,kdjk_9
2013-06-03,77.4499738107
2013-06-04,79.1583736996
2013-06-05,80.5800106339
2013-06-06,80.8483044514
2013-06-09,75.9114482506
2013-06-10,68.4599811604
2013-06-11,63.4923364335
2013-06-12,71.5004837969
2013-06-13,60.7766088847
2013-06-16,44.4998421647
2013-06-17,57.6525099209
2013-06-18,70.2460917037
2013-06-19,71.1473565041
2013-06-20,77.7276985654
2013-06-23,78.8495970694
2013-06-24,77.1487822528
2013-06-25,73.0915951541
2013-06-26,65.8309950989
2013-06-27,55.934507825
2013-06-30,45.5317643408
2013-07-01,47.8054899527
2013-07-02,57.575135922
2013-07-03,69.8369318366
2013-07-04,72.1705762428
2013-07-07,74.2298638531
2013-07-08,80.3022858718
2013-07-09,80.820831747
2013-07-10,86.9033288251
2013-07-11,81.4345173534
2013-07-14,80.260552022
2013-07-15,61.1233957533
2013-07-16,63.6450282925
2013-07-17,53.1493418518
2013-07-18,45.6350572383
2013-07-21,51.4388863018
2013-07-22,48.4439777978
2013-07-23,37.3149245925
2013-07-24,45.804646698
2013-07-25,52.6338094092
2013-07-28,64.0518181738
2013-07-29,72.9714823861
2013-07-30,75.8585392778
2013-07-31,75.8444683621
2013-08-01,81.3554773957
2013-08-04,79.8268215911
2013-08-05,83.7126093656
2013-08-06,82.7756918317
2013-08-07,86.0856513184
2013-08-08,74.0838531529
2013-08-11,60.7857041351
2013-08-12,60.4274945705
2013-08-13,72.7978168932
2013-08-14,73.1176963516
2013-08-15,75.0456249435
2013-08-18,78.6134951203
2013-08-19,85.4976817622
2013-08-20,84.8110137948
2013-08-21,89.2540059333
2013-08-22,89.3569511322
2013-08-25,70.2916758614
2013-08-26,62.9916214618
2013-08-27,53.9285706865
2013-08-28,40.5146167446
2013-08-29,35.1584786736
2013-09-01,38.0750617318
2013-09-02,38.4635432642
2013-09-03,34.1624175012
2013-09-04,33.8607460638
2013-09-05,30.5016490385
2013-09-08,25.6615896118
2013-09-09,20.395589297
2013-09-10,18.3539675411
2013-09-11,15.1565799697
2013-09-12,13.1648973145
2013-09-15,14.0415043715
2013-09-16,15.4065103051
2013-09-17,12.4995964912
2013-09-18,10.2791006216
2013-09-19,14.3194004144
2013-09-22,16.0141640876
2013-09-23,15.2982895463
2013-09-24,14.6475109044
2013-09-25,18.7254111188
2013-09-26,23.9207426073
2013-09-29,24.8129134341
2013-09-30,24.5084985285
2013-10-01,21.9309385656
2013-10-02,17.1721468095
2013-10-03,23.4248420591
2013-10-06,28.6010574967
2013-10-07,19.0673716645
2013-10-08,24.7658446756
2013-10-09,28.7301143991
2013-10-10,27.5277938358
2013-10-13,24.4731758572
2013-10-14,27.2151045507
2013-10-15,31.053135762
2013-10-16,34.0152523839
2013-10-17,30.1173111131
2013-10-20,21.0702709008
2013-10-21,29.0523843658
2013-10-22,38.1182562438
2013-10-23,48.4973919727
2013-10-24,63.1298686506
2013-10-28,64.1469890249
2013-10-29,61.1033864265
2013-10-30,61.5015024936
2013-10-31,55.6167489514
2013-11-01,62.3234122021
2013-11-04,73.1673766235
2013-11-05,69.1296804031
